experiment	sample	site	type	CYP3A7	CYP1A4	UGT1A9	SULT1B1	BATF3	PDK4	TXN	ACSL5	SLCO1A2	TTR	HMOX1	THRSP	IGF1	SULT1E1	CYP7B1	FGF19	ALAS1	IL16	MT4	SCD	LBFABP	CDKN1A	GADD45A	MGMT	NAT2	ALDH1A1	MSH2	CRYAB	FOXA1	APOB	POLB	POLK	TP63	G6PC	CA3B	LSS	AOC1	MGST3	LEAP2	FGA	MAT1A	IL1B	NOS2	EEF1A1	RPL4	GGDC	RTC	PPC
AOSR_WL	BL_1	Blank	control	24.75	32.78	29.88	26.61	28.2	25.29	21.08	24.43	34.35	25.35	23.45	32.36	39.55	24.31	32.9	No Ct	21	28.97	29.29	21.14	29.49	28	22.26	25.95	26.35	20.77	24.76	32.29	25.62	24.19	28.42	28.17	35.4	22.86	29.3	24.34	29.61	22.23	30.25	24	25.21	32.11	28.65	18.78	19.6	38.07	36.59	20.31
AOSR_WL	BL_2	Blank	control	24.02	31.74	29.69	26.51	27.83	24.59	20.6	23.94	33.98	24.81	23.23	31.88	37.17	23.91	33.14	36.68	20.68	28.27	27.75	21.43	28.85	28.91	22.28	25.59	25.84	20.04	24.47	32.75	25.67	23.9	28.3	27.56	34.91	22.28	28.9	25.08	28.97	21.68	29.69	23.97	24.7	32.1	28.38	18.58	18.82	No Ct	37.83	20.46
AOSR_WL	BL_3	Blank	control	23.84	31.29	28.84	26.02	27.08	24.25	20.02	23.44	33.02	24.42	22.61	32.93	No Ct	23.44	31.51	34.7	19.89	27.89	28.48	20.17	28.24	28.54	21.96	25	25.37	19.78	23.87	34.8	24.56	23.06	27.8	26.79	34.87	21.85	28.29	24.35	29.19	21.1	28.92	23.11	24.21	30.85	27.74	18.18	18.57	37.32	No Ct	19.58
AOSR_WL	WL3_1	WL3	treated	20.67	29.59	27.89	25.88	27.57	22.46	20.2	24.11	29.12	26.81	23.31	31.57	35.83	23.39	32.94	36.89	17.68	28.53	28.53	21.49	30.63	29.48	22.6	25.92	26.88	20.83	24.21	33.68	26.02	25.73	28.27	27.94	35.69	23.52	29.6	24.66	30.83	21.86	31.32	24.61	25.1	30.85	28.84	18.9	19.17	No Ct	37.63	20.57
AOSR_WL	WL3_2	WL3	treated	21.33	31.3	29.47	26.42	28.52	23.21	20.95	25.3	29.88	27.7	25.33	32.13	37.03	24.48	34.63	No Ct	17.99	28.71	29.77	23.61	31.82	33.2	24.45	26.67	27.6	21.82	25.21	32.8	27.44	27.44	30.43	29.77	35.55	24.77	30.51	29.34	32.07	22.67	32.77	26.74	26.15	31.71	29.51	22.07	19.99	38.11	37.08	20.24
AOSR_WL	WL3_3	WL3	treated	21.66	30.1	29.59	27.24	28.06	22.66	19.57	25.03	29.52	28.04	25.49	32.79	No Ct	24.4	34.11	No Ct	17.15	28.97	28.74	23.95	30.99	33.43	25.21	26.87	27.02	20.75	24.48	33.81	28.27	27.22	30.22	29.15	35.95	24.03	30.27	28.3	32.96	21.97	32.67	26.92	26.3	32.55	28.48	21.57	19.8	36.91	No Ct	19.24
AOSR_WL	WL4_1	WL4	treated	21.89	30.58	30.9	27.64	29.02	23.62	20.56	25.82	31.31	28.1	25.83	33.2	No Ct	24.9	36.33	38.01	17.84	29.02	29.43	24.43	31.62	32.77	25.23	26.99	27.47	22.24	25.45	35.13	28.84	28.26	30.47	30.25	38.19	24.72	31.15	28.41	33.83	22.38	33.43	27.6	26.32	33.4	29.5	21.81	19.96	No Ct	No Ct	20.33
AOSR_WL	WL4_2	WL4	treated	21.58	30.2	30.47	26.63	28.19	23.53	20.67	25.18	30.68	27.15	24.5	32.98	36.38	24.07	36.07	35.74	18.15	28.86	28.93	24	31.01	30.76	24.13	26.52	27.51	21.75	25.12	35.28	28.82	28.15	29.75	29.72	35.3	23.97	30.43	26.73	32.79	22.4	32.55	26.27	25.88	32.41	29.67	20.23	19.63	No Ct	No Ct	20.27
AOSR_WL	WL4_3	WL4	treated	23.39	32.76	32.26	28.47	30.43	24.93	21.61	27.19	32.15	29.58	27.09	34.38	No Ct	26.4	36.14	No Ct	19	30.47	31.12	25.44	32.81	32.57	25.94	28.57	28.85	23.6	26.76	36.69	29.7	29.57	31.49	31.76	38.47	26.2	32.06	28.82	34.27	23.75	33.99	28.91	27.76	33.7	30.52	22.74	21.51	No Ct	No Ct	20.5
AOSR_WL	WL5_1	WL5	treated	24.05	32.33	32.97	28.56	30.3	25.51	21.81	27.12	32.64	29.29	26.85	35.07	No Ct	26.39	38.34	36.66	19.01	30.95	30.98	25.72	32.88	31.74	25.91	28.22	28.63	23.49	26.67	35.38	30.36	29.58	32.1	31.86	No Ct	25.56	31.57	28.45	34.01	23.75	33.81	28.27	27.76	33.9	30.48	22.55	21.38	No Ct	38.53	20.15
AOSR_WL	WL5_2	WL5	treated	20.45	29.21	28.23	25.36	27.29	21.89	19.16	23.33	29.67	25.45	23.15	31.8	No Ct	23.05	32.29	No Ct	16.63	27.25	28	22.11	29.59	29.24	22.28	24.77	25.01	20.35	23.53	33.26	26.61	25.06	27.69	27.3	33.4	22.33	28.43	25.12	30.05	20.59	30.42	23.95	24.14	30.24	27.2	18.44	18.03	34.19	No Ct	18.91
AOSR_WL	WL5_3	WL5	treated	22.44	30.53	29.58	26.75	28.83	23.7	20.64	24.88	31.23	27.15	24.87	32.98	No Ct	24.39	35.01	37.52	18.28	28.66	28.81	23.84	30.78	31.21	24.4	26.35	26.81	21.75	25.03	34.17	28.49	26.84	29.42	29.11	36.27	23.54	30.09	27.06	32.2	22.16	31.86	25.86	25.74	32.72	28.98	20.36	19.46	37.68	38.28	20.03
AOSR_WL	WL6_1	WL6	treated	25.07	33.59	30.88	28.03	27.75	25.3	20.79	24.59	33.77	24.85	25.31	35.17	36.13	24.54	34.26	No Ct	21.93	29.79	28.47	22.52	26.66	33.25	25.32	26.64	26.78	19.55	24.85	35.32	25.86	24.32	30.18	28.28	36.21	22.51	29.99	27.93	32.16	22.19	29.88	25.5	25.08	32.45	29.36	21.32	19.39	37.68	37.63	20.16
AOSR_WL	WL6_2	WL6	treated	24.55	32.5	29.88	27.93	27.42	24.97	20.97	24.16	34.48	24.7	24.6	32.9	37.42	24.63	34.4	No Ct	21.91	28.8	28.7	22.11	26.94	31.4	24.58	26.55	26.86	19.53	24.78	36.38	25.71	23.64	28.99	27.85	34.81	22.63	29.89	27.08	31.46	22.38	29.77	24.91	24.71	31.75	29.01	20.77	19.46	No Ct	No Ct	20.32
AOSR_WL	WL6_3	WL6	treated	24.15	32.62	29.44	26.93	27.59	24.47	21.04	23.77	32.84	23.91	23.29	33.07	35.78	24.29	32.98	36.71	21.8	28.68	28.18	20.97	26.61	28.62	22.73	26.19	26.85	19.46	24.62	34.66	24.58	23.54	28.26	27.56	34.64	22.35	29.56	24.48	29.23	22.31	29.41	23.78	24.26	31.57	28.84	18.89	19.15	No Ct	37.73	20.34
AOSR_WL	WL7_1	WL7	treated	22.1	29.55	29.31	25.88	26.78	23.02	19.29	23.61	30.69	25.39	23.6	32.49	35.18	23.41	34.4	No Ct	17.34	27.85	27.07	22.96	28.49	29.9	23.56	25.13	25.71	19.97	23.76	33.82	27.49	25.38	28.45	28.24	36.44	21.86	28.41	26.44	31.09	20.92	30.09	24.57	24.69	31.15	27.79	19.2	18.03	No Ct	36.48	19.22
AOSR_WL	WL7_2	WL7	treated	22.85	30.25	29.1	26.61	27.67	23.77	20.32	24.37	31.4	26.39	24.05	33.04	No Ct	24.19	33.73	No Ct	18.15	28.33	28.44	23.08	29.54	30.61	23.78	25.88	26.47	20.89	24.56	35.09	27.29	25.42	29.12	28.25	35.05	22.71	29.41	26.66	31.1	21.9	30.57	24.68	25.48	31.62	28.55	19.87	18.95	No Ct	35.65	20.29
AOSR_WL	WL7_3	WL7	treated	23.01	29.68	31.49	26.95	28.2	23.76	19.68	25.15	31.51	26.74	25.07	33.25	35.79	24.84	34.38	No Ct	17.36	29.06	28.26	24.3	29.27	30.87	24.23	26.49	26.37	20.98	24.56	33.56	28.5	27.26	29.87	29.71	35.96	23.36	29.85	27.55	32.4	21.78	31.91	26.16	26.14	32.9	27.84	21.11	19.49	36.56	39.11	18.65
AOSR_WL	WL8_1	WL8	treated	19.97	28.3	27.75	25.25	26.35	22.23	19.35	23.68	29.54	25.22	22.78	31.57	No Ct	22.9	32.96	34.76	15.82	27.88	26.96	21.36	28.97	29	22.12	24.86	25.75	19.85	23.15	32.33	25.66	24.69	27.82	27.27	33.97	22.45	28.85	25.08	30.06	20.95	30.13	23.69	24.54	30.26	27.69	18.37	17.93	35.81	35.84	18.96
AOSR_WL	WL8_2	WL8	treated	21.32	29.98	28.01	25.89	27.14	23.18	20.18	24	30.15	25.86	23.46	31.85	38.48	23.71	32.88	No Ct	17.14	28.16	28.01	21.64	29.17	30.01	23.16	25.68	26.72	20.48	24.09	34.51	25.84	24.94	28.61	27.63	34.55	22.84	29.28	25.8	31.33	21.77	30.57	24.33	24.97	31.25	29.53	19.17	18.74	No Ct	38.69	20.01
AOSR_WL	WL8_3	WL8	treated	20.68	28.88	28.41	26.16	27.13	22.74	20.04	24.38	30.58	26.09	23.69	32.4	36.13	23.73	32.74	34.93	16.14	28.3	27.95	21.74	29.5	30.03	22.81	25.53	26.53	20.52	23.82	34.24	25.78	25.4	28.78	27.78	33.96	23.37	29.22	26.13	31.78	21.61	31.07	24.54	25.07	31.1	28.13	19.59	18.76	No Ct	38.77	20.03
